TRUE,FALSE,,Hello! Thanks for being interested in my bingo card generator.
TRUE,FALSE,,Here's how this will work:
TRUE,FALSE,,"1) Starting from row 2, fill in as many cells as you can, keeping truth statements within column A and false statements within column B."
TRUE,FALSE,,"        * At minimum, you will need a total of 25 statement."
TRUE,FALSE,,2) Export this file as a .CSV
TRUE,FALSE,,3) Continue with instructions from the .readme file in the GitHub repository!
TRUE,FALSE,,
TRUE,FALSE,,
TRUE,FALSE,,
TRUE,FALSE,,
TRUE,FALSE,,
TRUE,FALSE,,
TRUE,FALSE,,
TRUE,FALSE,,
TRUE,FALSE,,
TRUE,FALSE,,
TRUE,FALSE,,
TRUE,FALSE,,
TRUE,FALSE,,
TRUE,FALSE,,
TRUE,FALSE,,
TRUE,FALSE,,
TRUE,FALSE,,
TRUE,FALSE,,
TRUE,FALSE,,
TRUE,FALSE,,
TRUE,FALSE,,
TRUE,FALSE,,
TRUE,FALSE,,
TRUE,FALSE,,
TRUE,FALSE,,
